0.000000000000000000e+00,1.000000000000000056e-01,2.000000000000000111e-01,2.999999999999999889e-01,4.000000000000000222e-01,5.000000000000000000e-01,5.999999999999999778e-01,6.999999999999999556e-01,8.000000000000000444e-01,9.000000000000000222e-01
1.000000000000000056e-01,2.379914764858386533e+01,2.297602900385634683e+01,2.430761072149135771e+01,2.439286083857649601e+01,2.137127861444877652e+01,2.397012371150030674e+01,2.145652873153391482e+01,2.379914764858386533e+01,2.430761072149135771e+01
2.000000000000000111e-01,2.430761072149135771e+01,1.995170599539102341e+01,2.381258128294294352e+01,1.944458916954132377e+01,2.439286083857649601e+01,2.371389753149873059e+01,2.430761072149135771e+01,2.295806549121597584e+01,2.379914764858386533e+01
2.999999999999999889e-01,2.137127861444877652e+01,2.162750479445035623e+01,2.295806549121597584e+01,2.371389753149873059e+01,2.355177868120860296e+01,2.321886809295031284e+01,2.379914764858386533e+01,2.371389753149873059e+01,2.137127861444877652e+01
4.000000000000000222e-01,2.371389753149873059e+01,2.371389753149873059e+01,2.295806549121597584e+01,2.379914764858386533e+01,2.137127861444877652e+01,2.321886809295031284e+01,2.371389753149873059e+01,2.456383690149293741e+01,2.430761072149135771e+01
5.000000000000000000e-01,2.430761072149135771e+01,2.160979271784362510e+01,2.439286083857649601e+01,2.379914764858386533e+01,2.430761072149135771e+01,2.379914764858386533e+01,2.397012371150030674e+01,2.295806549121597584e+01,2.379914764858386533e+01
5.999999999999999778e-01,2.379914764858386533e+01,2.430761072149135771e+01,2.295806549121597584e+01,2.379914764858386533e+01,2.439286083857649601e+01,2.295806549121597584e+01,2.430761072149135771e+01,2.087624917590036233e+01,2.087624917590036233e+01
6.999999999999999556e-01,2.355177868120860296e+01,2.430761072149135771e+01,2.439286083857649601e+01,2.137127861444877652e+01,2.371389753149873059e+01,2.379914764858386533e+01,2.371389753149873059e+01,2.379914764858386533e+01,2.087624917590036233e+01
8.000000000000000444e-01,2.379914764858386533e+01,2.137127861444877652e+01,2.379914764858386533e+01,2.137127861444877652e+01,2.297602900385634683e+01,2.229432491244097747e+01,2.355177868120860296e+01,2.439286083857649601e+01,2.145652873153391482e+01
9.000000000000000222e-01,2.321886809295031284e+01,2.379914764858386533e+01,2.137127861444877652e+01,2.288803810243360459e+01,2.371389753149873059e+01,2.295806549121597584e+01,2.430761072149135771e+01,2.439286083857649601e+01,2.201012290696004214e+01
